meeting_id	chars	title
16bc938d-01f1-463f-8f6f-82ab11a766b1	63834	MESA + Brendi
17737a92-028d-4190-b871-57e45494681d	96883	Comunidade e modelo de negócio — networking, board, e eventos com Alfredo
1e8ec761-6460-4819-9a0e-9f91a6cceef4	87949	Conexão — Luiz Passos · Victor Gontijo · Daniel Frageri
3195ed01-6975-4319-a839-d24a10f95b01	73635	☕ Reunião — Luiz & Wellington
38866bd7-56f1-44ac-86e3-6b65226f87c8	72157	🏛️ Sessão de Decisão Estratégica — Luiz + Wallace França
61f2e5bc-8c30-48ad-8aef-43a37bb81ce6	81440	Conversa com Vitinho — Imposto e Taxa
66aef302-8793-4dc2-8513-48898243b496	76303	📋 Preparação Board #3 — Hanna Castor · A Mesa
6ebc8d1b-4889-4433-b863-c36a1a6854b7	56856	Encontro MCA+
7b8b801e-f015-487a-a02b-7b0424287e49	54072	[CIS] Lígia Oliveira &  Luiz Gustavo
7d46785d-734c-4c66-bfc7-f87f7f303bd9	71602	A Mesa — Conversa sobre o evento (César + Rodrigo)
d3ea17bd-13cc-48f8-9f43-6b075fcd33e6	112151	⚡ Hot Seat Bônus — Vendas, Networking e Relacionamento · A Mesa · Turma 1
eb1298fb-d387-4872-b40b-0c9ba1a48bd9	66513	Maiara & Luiz
f90c3526-c30c-4745-b74e-1eb237e9d3f6	55431	Precificação de mentoria e posicionamento de produto — estratégia com César e Rodrigo
